category_name,name,description,price,stock,image_filename
Baked Goods,Chocolate Croissant,"Flaky croissant filled with rich chocolate.",4.50,25,baked_goods.png
Baked Goods,Butter Croissant,"Classic laminated butter croissant.",4.25,30,baked_goods.png
Baked Goods,Almond Croissant,"Croissant filled with almond cream.",4.75,20,baked_goods.png
Baked Goods,Blueberry Muffin,"Soft muffin with fresh blueberries.",3.50,40,baked_goods.png
Baked Goods,Chocolate Chip Muffin,"Moist muffin with chocolate chips.",3.50,35,baked_goods.png
Baked Goods,Banana Bread Slice,"Moist banana loaf slice.",3.75,30,baked_goods.png
Baked Goods,Lemon Loaf Slice,"Citrusy lemon loaf with glaze.",3.95,22,baked_goods.png
Baked Goods,Macaron Box (6),"Assorted flavors of French macarons.",12.00,15,baked_goods.png
Baked Goods,Macaron Box (12),"Premium assorted macarons.",22.00,12,baked_goods.png
Baked Goods,Brownie Fudge Bar,"Rich chocolate brownie bar.",3.25,30,baked_goods.png
Baked Goods,Cheesecake Slice,"Creamy vanilla cheesecake slice.",5.95,20,baked_goods.png
Baked Goods,Chocolate Tart,"Dark chocolate ganache tart.",5.50,18,baked_goods.png
Baked Goods,Fruit Tart,"Fresh fruit on vanilla custard.",6.25,15,baked_goods.png
Baked Goods,Chocolate Cookie,"Soft-baked chocolate cookie.",2.50,50,baked_goods.png
Baked Goods,White Chocolate Cookie,"Cookie with white chocolate chunks.",2.50,45,baked_goods.png
Baked Goods,Oatmeal Raisin Cookie,"Chewy oatmeal raisin cookie.",2.50,40,baked_goods.png
Baked Goods,Peanut Butter Cookie,"Rich peanut butter cookie.",2.50,38,baked_goods.png
Baked Goods,Scones – Blueberry,"Buttery blueberry scone.",3.95,25,baked_goods.png
Baked Goods,Scones – Cranberry Orange,"Orange zest + cranberry.",3.95,20,baked_goods.png
Baked Goods,Cinnamon Roll,"Soft roll with cinnamon glaze.",4.95,18,baked_goods.png
Baked Goods,Chocolate Donut,"Chocolate-glazed donut.",2.95,40,baked_goods.png
Baked Goods,Vanilla Donut,"Classic vanilla glazed.",2.95,42,baked_goods.png
Baked Goods,Old Fashioned Donut,"Classic style donut.",2.75,30,baked_goods.png
Baked Goods,Matcha Cookie,"Matcha flavored cookie.",2.75,35,baked_goods.png
Baked Goods,Red Velvet Cookie,"Red velvet cookie with cream cheese chips.",2.75,28,baked_goods.png
Baked Goods,Espresso Brownie,"Brownie infused with espresso.",3.50,30,baked_goods.png
Baked Goods,Chocolate Cupcake,"Rich chocolate cupcake.",3.95,20,baked_goods.png
Baked Goods,Vanilla Cupcake,"Vanilla + buttercream frosting.",3.95,22,baked_goods.png
Baked Goods,Tiramisu Cup,"Creamy tiramisu in cup.",5.95,16,baked_goods.png
Baked Goods,Carrot Cake Slice,"Moist carrot cake slice.",4.75,25,baked_goods.png
Beverages,Latte,"Café latte made with espresso + steamed milk.",4.50,50,beverages.png
Beverages,Cappuccino,"Espresso with frothy milk foam.",4.25,45,beverages.png
Beverages,Flat White,"Smooth milk + espresso.",4.50,40,beverages.png
Beverages,Americano,"Espresso with hot water.",3.25,60,beverages.png
Beverages,Mocha,"Chocolate + espresso drink.",4.95,35,beverages.png
Beverages,Hot Chocolate,"Rich cocoa beverage.",4.25,40,beverages.png
Beverages,Chai Latte,"Spiced tea latte.",4.75,35,beverages.png
Beverages,Matcha Latte,"Ceremonial matcha + milk.",5.25,30,beverages.png
Beverages,London Fog,"Earl Grey + steamed milk.",4.50,28,beverages.png
Beverages,Espresso Shot,"Single espresso shot.",2.75,80,beverages.png
Beverages,Iced Latte,"Chilled latte over ice.",4.50,55,beverages.png
Beverages,Iced Americano,"Cold espresso + water.",3.25,50,beverages.png
Beverages,Iced Matcha,"Chilled matcha latte.",5.25,25,beverages.png
Beverages,Milk Tea,"Boba style milk tea.",4.75,40,beverages.png
Beverages,Taro Milk Tea,"Taro flavored bubble tea.",5.25,30,beverages.png
Beverages,Thai Iced Tea,"Sweet Thai milk tea.",5.00,25,beverages.png
Beverages,Iced Mocha,"Cold mocha drink.",5.00,28,beverages.png
Beverages,Bubble Tea Kit – Original,"DIY boba tea starter kit.",18.00,12,beverages.png
Beverages,Bubble Tea Kit – Brown Sugar,"DIY brown sugar boba kit.",18.00,10,beverages.png
Beverages,Strawberry Lemonade,"Fresh strawberry lemonade.",4.25,35,beverages.png
Beverages,Peach Iced Tea,"Fruity peach black tea.",4.25,30,beverages.png
Beverages,Lychee Iced Tea,"Lychee infused iced tea.",4.25,28,beverages.png
Beverages,Lime Sparkling Water,"Refreshing lime fizz.",3.00,40,beverages.png
Beverages,Orange Sparkling Water,"Citrus sparkling drink.",3.00,38,beverages.png
Beverages,House Brew Coffee,"Fresh brewed coffee.",2.95,60,beverages.png
Beverages,Cold Brew Coffee,"Smooth cold brew.",4.25,35,beverages.png
Beverages,Vanilla Cold Brew,"Cold brew with vanilla cream.",4.75,32,beverages.png
Beverages,Nitro Cold Brew,"Cold brew infused with nitrogen.",5.25,22,beverages.png
Beverages,Caramel Macchiato,"Layered caramel espresso.",5.25,30,beverages.png
Beverages,White Chocolate Mocha,"White chocolate espresso drink.",5.50,28,beverages.png
Dessert Kits,DIY Macaron Kit – Classic,"Make 12 classic macarons.",25.00,10,dessert_kits.png
Dessert Kits,DIY Macaron Kit – Chocolate,"Chocolate flavored macaron kit.",25.00,10,dessert_kits.png
Dessert Kits,Boba Tea Starter Kit – Original,"All-in-one bubble tea kit.",22.00,12,dessert_kits.png
Dessert Kits,Boba Tea Starter Kit – Taro,"Taro flavored bubble tea kit.",22.00,10,dessert_kits.png
